episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s03e16b		['okay']	[0.96]	[0.32000000000000006]
s03e16b	 okay, tin man.	['tin', 'man']	[1.28, 1.52]	[0.24, 0.5]
s03e16b		[]	[]	[]
s03e16b	  come on,	['come', 'on']	[4.96, 5.3599997]	[0.3999997000000004, 0.47999999999999954]
s03e16b	 rachel. come on. talk to	['rachel', 'come', 'on', 'talk', 'to']	[5.8399997, 6.48, 6.72, 7.04, 7.2799997]	[0.5, 0.23999999999999932, 0.3200000000000003, 0.23999970000000026, 0.1600003000000001]
s03e16b	 me,please.  i can't even	"['me', 'please', 'ew', 'i', ""can't"", 'even']"	[7.44, 7.68, 8.08, 8.24, 8.4, 8.639999]	[0.23999999999999932, 0.40000000000000036, 0.16000000000000014, 0.16000000000000014, 0.23999899999999919, 0.24000100000000124]
s03e16b	 look at you right now.	['look', 'at', 'you', 'right', 'now']	[8.88, 9.12, 9.28, 9.595, 9.835]	[0.23999999999999844, 0.16000000000000014, 0.3150000000000013, 0.2400000000000002, 0.4800009999999997]
s03e16b	  what?	['what']	[10.315001]	[0.5]
s03e16b	 nothing. nothing.	['nothing', 'nothing']	[11.675, 12.155001]	[0.4800009999999997, 0.5]
s03e16b	 rachel said everything	['they', 'just', 'said', 'everything']	[13.995001, 14.155001, 14.395, 14.555]	[0.16000000000000014, 0.23999899999999919, 0.16000000000000014, 0.3200000000000003]
s03e16b	 was okay. what	['was', 'okay', 'what', 'what']	[14.875, 15.115, 15.755, 16.075]	[0.2400000000000002, 0.5, 0.3199999999999985, 0.16000000000000014]
s03e16b	 are they talking about?	['are', 'they', 'talking', 'about']	[16.235, 16.395, 16.555, 16.875]	[0.16000000000000014, 0.16000000000000014, 0.3200000000000003, 0.5]
s03e16b	  rachel, i made... just get away	['rachel', 'allen', 'just', 'get', 'away']	[17.78, 18.02, 18.5, 18.740002, 18.900002]	[0.23999999999999844, 0.4800000000000004, 0.2400020000000005, 0.16000000000000014, 0.31999899999999926]
s03e16b	 from me! i	['from', 'me', 'mistake', 'i']	[19.220001, 19.380001, 19.86, 20.42]	[0.16000000000000014, 0.31999899999999926, 0.5, 0.16000199999999865]
s03e16b	" made a mistake, okay? ""a"	['made', 'a', 'mistake', 'okay', 'a']	[20.580002, 20.900002, 21.060001, 21.54, 22.1]	[0.3200000000000003, 0.15999899999999911, 0.4799989999999994, 0.5, 0.16000000000000014]
s03e16b	" mistake""?! what were"	['mistake', 'what', 'were']	[22.26, 23.300001, 23.460001]	[0.5, 0.1599999999999966, 0.23999900000000096]
s03e16b	 you trying to put it in--	['you', 'trying', 'to', 'put', 'it', 'in']	[23.7, 23.94, 24.34, 24.42, 24.66, 24.82]	[0.240000000000002, 0.3999999999999986, 0.08000000000000185, 0.23999999999999844, 0.16000000000000014, 0.24000099999999946]
s03e16b	 her purse?!	['her', 'purse']	[25.060001, 25.460001]	[0.3999999999999986, 0.5]
s03e16b		[]	[]	[]
s03e16b	 where... where did he put	['where', 'where', 'did', 'he', 'put']	[28.635, 28.715, 28.875, 29.035, 29.195]	[0.0799999999999983, 0.16000000000000014, 0.16000000000000014, 0.16000000000000014, 0.16000100000000117]
s03e16b		['it']	[29.355001]	[0.5]
s03e16b		[]	[]	[]
s03e16b	 it? ross,	['right', 'now', 'ross']	[33.07, 33.55, 33.79]	[0.4799999999999969, 0.240000000000002, 0.3999999999999986]
s03e16b	 you had sex with another	['you', 'had', 'sex', 'with', 'another']	[34.19, 34.51, 34.75, 34.91, 35.23]	[0.3200000000000003, 0.240000000000002, 0.1599999999999966, 0.3200000000000003, 0.4000000000000057]
